,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1689,0,1,637,Research & Development,36,3,105,3,2,Research Director,1,No,13,2,0,8,1,1,27,20,0,13
1690,0,0,526,Sales,1,2,103,1,1,Healthcare Representative,2,No,10,3,1,34,6,4,2,15,1,3
1691,0,1,1466,Research & Development,35,3,30,2,4,Laboratory Technician,2,No,13,2,3,32,1,3,22,2,11,5
1692,1,3,1436,Research & Development,34,3,145,4,1,Sales Representative,4,No,18,3,1,23,0,4,28,17,0,17
1693,0,1,169,Sales,17,4,36,3,4,Healthcare Representative,1,No,11,4,2,24,5,2,37,10,6,13
1694,0,3,690,Research & Development,49,1,100,2,1,Laboratory Technician,2,No,16,3,0,28,3,3,36,11,7,9
1695,0,0,587,Sales,32,1,118,2,3,Sales Executive,3,No,16,3,2,13,6,3,38,3,8,15
1696,0,0,1170,Human Resources,3,3,43,4,1,Sales Representative,4,No,24,3,1,38,6,3,20,13,13,14
1697,0,1,173,Sales,38,4,51,3,1,Human Resources,2,No,22,4,1,10,0,2,21,13,6,14
1698,1,3,108,Research & Development,7,2,103,1,5,Research Director,4,No,17,1,2,15,6,3,17,10,6,6
1699,1,3,1475,Sales,17,2,32,3,5,Manager,1,No,12,2,3,9,1,2,15,14,12,16
1700,1,1,1073,Human Resources,1,4,131,1,1,Laboratory Technician,2,No,18,2,0,35,1,1,13,17,1,11
1701,0,0,156,Sales,50,1,53,1,5,Sales Executive,1,No,16,4,3,23,4,1,22,13,13,5
1702,0,0,1473,Sales,2,2,99,2,3,Manufacturing Director,3,No,23,4,1,0,1,4,29,4,7,5
1703,0,1,599,Research & Development,12,4,98,4,1,Healthcare Representative,3,No,22,2,1,4,0,4,12,3,7,17
1704,1,3,1073,Human Resources,24,3,125,4,5,Manufacturing Director,2,No,18,2,2,3,5,3,13,15,3,15
1705,0,3,465,Research & Development,4,1,135,2,5,Manufacturing Director,3,No,24,3,2,15,6,4,16,12,15,4
1706,0,3,333,Sales,3,3,51,3,4,Manager,2,No,17,3,2,9,0,1,4,5,12,1
1707,0,1,195,Research & Development,38,2,112,3,4,Research Scientist,2,No,13,3,2,15,6,3,2,3,3,12
1708,0,3,587,Sales,24,1,62,3,3,Research Scientist,4,No,12,3,1,11,6,3,1,11,12,8
1709,1,1,818,Sales,36,4,116,3,3,Manager,4,No,23,2,1,33,1,2,8,0,1,1
1710,0,3,1053,Research & Development,43,2,81,1,5,Research Director,3,No,24,3,3,30,3,3,12,6,12,1
1711,0,3,597,Research & Development,41,2,106,2,4,Research Director,1,No,11,1,2,37,3,3,6,7,15,10
1712,0,1,1288,Human Resources,38,2,126,1,2,Research Scientist,3,No,23,4,0,19,0,4,34,1,8,8
1713,0,0,311,Research & Development,14,3,82,1,5,Manager,1,No,23,3,3,0,2,2,8,13,4,4
1714,0,3,1074,Research & Development,22,2,148,3,3,Sales Executive,3,No,22,4,2,16,6,2,6,3,10,4
1715,1,3,612,Human Resources,40,3,39,2,2,Laboratory Technician,4,No,24,1,0,33,2,3,40,2,10,5
1716,1,1,996,Sales,23,4,31,1,1,Healthcare Representative,1,No,16,3,0,32,3,1,13,13,6,1
1717,0,1,665,Sales,21,3,120,3,1,Healthcare Representative,1,No,12,3,0,33,2,2,39,1,0,12
1718,1,3,538,Human Resources,2,1,116,3,5,Human Resources,3,No,18,3,2,25,1,1,26,7,13,15
1719,0,3,240,Human Resources,39,1,68,1,4,Manager,2,No,18,1,3,18,2,2,23,8,11,5
1720,1,1,607,Human Resources,16,3,70,3,2,Human Resources,3,No,14,2,1,6,4,2,20,10,2,4
1721,0,0,188,Research & Development,10,2,53,3,1,Human Resources,4,No,19,3,0,28,0,3,8,5,9,7
1722,1,1,346,Research & Development,23,2,69,2,1,Laboratory Technician,2,No,10,4,1,16,1,1,18,17,5,3
1723,0,3,1362,Research & Development,39,4,76,3,4,Sales Executive,4,No,17,4,2,2,2,4,40,20,12,2
1724,0,0,545,Research & Development,4,4,59,1,3,Laboratory Technician,4,No,23,3,1,15,2,3,2,12,9,5
1725,0,1,330,Sales,47,1,93,2,3,Manager,2,No,24,2,1,7,2,2,7,20,4,8
1726,0,0,754,Human Resources,6,4,148,1,5,Manufacturing Director,2,No,10,3,2,37,4,3,10,3,9,16
1727,0,0,872,Sales,29,4,81,3,4,Healthcare Representative,4,No,13,3,2,31,5,3,37,3,12,11
1728,0,1,957,Human Resources,21,2,147,4,1,Healthcare Representative,3,No,24,4,0,6,2,2,18,11,10,11
1729,0,1,1018,Research & Development,12,2,126,2,2,Sales Executive,3,No,25,3,0,17,3,1,36,5,7,14
1730,0,3,446,Research & Development,7,4,33,4,3,Healthcare Representative,1,No,19,3,2,2,3,1,10,15,1,13
1731,0,1,1019,Human Resources,26,3,74,1,5,Sales Executive,2,No,10,1,3,4,3,2,20,3,2,7
1732,1,1,1482,Sales,21,2,126,4,3,Manager,2,No,25,2,1,7,0,1,3,11,8,15
1733,0,3,269,Sales,47,2,113,1,3,Manager,3,No,17,3,1,18,1,1,22,0,14,11
1734,0,3,1159,Sales,30,3,138,4,1,Sales Representative,1,No,18,2,1,13,0,2,23,18,11,13
1735,0,0,829,Research & Development,3,3,85,4,3,Human Resources,4,No,15,2,1,0,4,2,18,1,14,14
1736,1,3,447,Research & Development,2,3,124,1,1,Sales Representative,2,No,15,4,0,9,6,4,31,10,14,9
1737,0,0,1041,Research & Development,26,2,136,3,4,Research Scientist,4,No,21,4,2,12,1,2,34,9,9,12
1738,1,1,820,Sales,29,2,90,4,4,Sales Executive,4,No,15,3,2,37,3,2,23,3,6,0
1739,0,0,961,Human Resources,21,1,74,1,1,Laboratory Technician,4,No,22,3,0,33,6,1,27,8,8,12
1740,1,3,1399,Sales,30,4,80,4,1,Laboratory Technician,4,No,24,1,1,24,1,4,25,14,3,3
1741,0,3,684,Research & Development,30,3,130,1,1,Laboratory Technician,2,No,15,3,1,7,2,3,31,20,13,17
1742,1,0,1253,Sales,26,1,148,1,4,Sales Executive,2,No,14,2,3,1,2,3,4,7,8,2
1743,0,1,688,Human Resources,43,2,58,2,4,Sales Executive,4,No,16,3,3,40,0,4,22,11,4,10
1744,1,1,1442,Research & Development,42,2,34,3,5,Sales Executive,4,No,17,3,3,3,6,4,18,6,12,10
1745,1,1,890,Human Resources,46,1,81,2,4,Sales Executive,3,No,13,2,3,11,4,2,17,20,14,13
1746,0,0,904,Research & Development,10,1,144,1,1,Laboratory Technician,2,No,14,3,1,15,6,3,38,3,10,8
1747,1,1,496,Human Resources,34,1,145,2,2,Manager,1,No,24,3,0,2,0,4,29,13,13,15
1748,0,1,456,Research & Development,24,4,75,4,1,Human Resources,4,No,12,3,1,40,0,4,16,18,1,5
1749,1,3,739,Sales,7,1,113,1,1,Laboratory Technician,3,No,23,2,0,0,5,4,13,16,0,17
1750,1,3,253,Human Resources,38,1,68,4,4,Research Director,2,No,24,1,3,27,1,1,28,16,9,10
1751,1,0,1302,Research & Development,32,3,78,4,4,Manufacturing Director,1,No,15,3,2,11,1,3,31,2,2,9
1752,0,1,1219,Research & Development,11,3,72,4,4,Human Resources,3,No,12,4,2,39,3,1,13,17,0,8
1753,1,1,203,Sales,43,4,82,3,2,Sales Executive,2,No,18,1,0,4,1,4,10,19,15,15
1754,1,1,1028,Human Resources,27,4,77,4,2,Human Resources,4,No,12,1,1,37,5,1,23,14,0,13
1755,1,3,1022,Sales,4,4,57,1,1,Laboratory Technician,2,No,16,1,1,40,5,3,6,0,6,6
1756,1,0,998,Sales,9,3,106,3,1,Sales Representative,3,No,20,3,1,1,0,4,28,6,1,11
1757,1,1,1004,Sales,20,1,30,2,2,Sales Representative,4,No,10,2,0,8,2,4,34,3,15,2
1758,1,1,1362,Research & Development,47,2,72,3,1,Laboratory Technician,1,No,12,4,0,11,3,3,28,15,10,16
1759,0,1,670,Human Resources,48,3,146,3,2,Sales Executive,3,No,14,3,0,8,4,3,6,15,10,11
1760,1,0,466,Sales,16,1,74,4,4,Human Resources,3,No,15,3,3,27,2,3,2,4,2,4
1761,1,0,1140,Human Resources,45,3,80,3,4,Healthcare Representative,1,No,17,2,3,28,5,2,3,1,10,14
1762,0,0,1027,Research & Development,4,2,110,1,5,Sales Executive,1,No,13,3,2,27,2,3,37,13,4,13
1763,1,1,204,Research & Development,13,2,42,4,4,Human Resources,1,No,20,3,2,12,5,3,18,20,10,15
1764,0,3,994,Sales,10,2,127,1,5,Sales Executive,1,No,11,4,3,10,2,4,18,8,1,9
1765,1,0,1464,Sales,15,4,138,3,3,Research Director,1,No,19,1,2,35,5,3,10,5,13,15
1766,1,1,1087,Research & Development,10,3,50,4,5,Manager,1,No,10,2,3,7,6,2,36,15,2,17
1767,0,3,1141,Sales,37,1,111,1,4,Sales Executive,2,No,24,4,3,7,0,4,27,3,11,1
1768,0,3,895,Research & Development,14,4,119,1,5,Manufacturing Director,3,No,16,3,2,38,4,2,29,10,14,16
1769,1,3,1045,Human Resources,15,4,96,1,5,Manager,3,No,14,3,3,21,5,3,15,0,11,4
1770,0,1,1300,Human Resources,47,2,33,4,2,Sales Representative,4,No,12,4,0,23,2,1,10,17,5,9
1771,0,3,675,Sales,37,1,56,1,2,Sales Executive,4,No,17,3,1,13,6,4,33,20,5,3
1772,1,3,687,Research & Development,21,3,94,1,2,Human Resources,1,No,19,2,0,16,1,1,15,12,5,13
1773,1,3,1453,Research & Development,23,2,103,3,5,Manufacturing Director,1,No,24,1,2,19,5,3,36,20,14,2
1774,0,0,956,Sales,44,4,110,3,4,Research Director,1,No,17,2,2,36,3,2,39,6,12,7
1775,0,1,1399,Research & Development,17,4,60,1,5,Sales Executive,4,No,19,3,3,29,6,3,2,18,5,17
1776,0,3,837,Sales,19,1,117,1,4,Manager,1,No,20,4,3,14,4,2,16,20,1,4
1777,0,0,620,Human Resources,10,3,49,4,2,Laboratory Technician,4,No,24,3,0,4,1,4,30,16,10,16
1778,0,0,586,Research & Development,20,1,108,2,4,Research Director,1,No,16,4,3,36,3,3,1,4,9,7
1779,0,0,182,Sales,22,4,149,2,4,Sales Executive,4,No,21,4,3,11,3,4,4,19,4,6
1780,0,1,958,Human Resources,24,2,109,4,5,Manufacturing Director,4,No,20,4,2,36,1,1,22,11,7,11
1781,0,0,1003,Human Resources,46,3,122,2,5,Human Resources,1,No,19,4,2,1,4,1,38,12,15,13
1782,1,1,1029,Sales,14,3,130,1,1,Sales Representative,2,No,11,4,0,14,0,3,32,19,8,5
1783,1,3,1438,Human Resources,23,3,104,1,4,Manufacturing Director,4,No,21,2,3,0,0,3,37,6,8,1
1784,1,1,747,Human Resources,46,2,76,3,3,Manager,3,No,15,2,1,19,3,1,40,18,6,5
1785,0,0,212,Human Resources,48,3,71,1,2,Healthcare Representative,1,No,20,4,0,16,5,2,32,4,8,1
1786,1,3,616,Human Resources,2,4,100,2,3,Research Director,4,No,22,1,1,4,1,4,24,4,8,13
1787,1,1,464,Research & Development,13,3,134,2,1,Laboratory Technician,4,No,16,2,0,29,3,1,3,6,4,0
1788,0,0,763,Research & Development,2,2,38,4,2,Sales Representative,4,No,18,2,0,31,4,2,19,19,13,10
1789,1,3,841,Research & Development,36,3,94,2,3,Research Scientist,4,No,19,3,2,5,0,4,5,1,8,14
1790,1,3,1052,Sales,17,3,142,3,3,Sales Executive,3,No,21,2,2,30,5,4,36,10,12,3
1791,0,3,1084,Research & Development,39,3,54,2,5,Research Director,3,No,16,3,3,11,4,1,36,8,3,7
1792,0,3,1430,Research & Development,39,1,96,4,1,Sales Representative,2,No,25,4,1,26,5,1,19,19,12,14
1793,0,0,1303,Sales,34,4,36,2,5,Manufacturing Director,1,No,16,4,2,21,5,2,20,16,15,5
1794,0,3,120,Human Resources,1,4,128,2,1,Human Resources,2,No,14,3,0,34,0,4,7,8,2,3
1795,1,3,794,Sales,24,1,104,2,4,Manufacturing Director,2,No,24,1,2,13,3,3,3,11,9,14
1796,0,1,1180,Human Resources,8,4,126,3,1,Laboratory Technician,2,No,16,2,1,22,1,1,29,18,15,12
1797,1,3,1328,Sales,29,4,145,4,2,Manufacturing Director,2,No,21,4,0,39,2,4,10,2,11,8
1798,1,0,197,Sales,17,4,73,4,4,Human Resources,3,No,13,4,3,14,6,4,31,6,14,11
1799,1,0,572,Human Resources,47,2,125,4,3,Sales Executive,1,No,13,3,2,8,6,4,15,8,10,1
1800,0,3,1278,Research & Development,32,2,112,4,1,Sales Representative,1,No,20,3,0,31,2,3,29,0,14,14
1801,1,0,1213,Sales,7,3,77,1,4,Manager,3,No,12,3,3,10,4,2,8,2,11,11
1802,1,1,204,Human Resources,25,1,111,2,5,Research Director,2,No,14,1,3,25,3,3,7,9,4,5
1803,0,0,522,Research & Development,29,4,69,3,5,Manufacturing Director,4,No,23,3,2,17,2,1,18,20,10,4
1804,1,3,902,Research & Development,23,1,133,1,3,Manufacturing Director,2,No,18,2,2,2,2,4,33,0,1,4
1805,0,3,1466,Sales,14,4,101,1,3,Research Director,2,No,18,4,1,4,5,1,6,3,7,17
1806,0,1,518,Human Resources,40,1,61,2,2,Human Resources,3,No,16,3,1,10,4,4,3,20,2,8
1807,0,3,118,Research & Development,2,4,34,2,2,Human Resources,4,No,16,3,1,21,3,1,29,13,1,11
1808,0,1,214,Research & Development,8,3,132,3,2,Sales Executive,3,No,12,4,1,0,3,2,32,12,2,0
1809,0,1,150,Sales,8,4,81,4,4,Research Scientist,2,No,20,3,2,39,3,1,2,6,15,2
1810,0,3,296,Research & Development,1,2,148,2,1,Sales Representative,2,No,24,4,0,4,4,2,19,18,15,7
1811,1,1,1455,Research & Development,28,3,48,3,2,Sales Representative,3,No,21,2,1,32,0,1,10,1,10,1
1812,1,3,834,Sales,18,4,146,4,5,Research Director,4,No,19,4,3,33,4,2,3,15,3,9
1813,1,0,478,Sales,48,2,119,1,2,Research Scientist,2,No,21,2,0,13,5,1,37,14,10,4
1814,0,1,1160,Research & Development,13,3,37,1,5,Research Director,1,No,13,4,3,11,4,4,40,12,4,3
1815,0,3,570,Research & Development,20,2,84,3,1,Sales Representative,4,No,10,4,0,2,6,4,18,8,1,3
1816,1,0,811,Sales,35,4,124,3,5,Manufacturing Director,4,No,24,3,2,15,6,1,14,17,1,10
1817,0,3,390,Sales,17,1,57,4,3,Laboratory Technician,3,No,21,2,1,39,6,4,39,16,6,8
1818,1,1,249,Sales,5,1,34,3,4,Healthcare Representative,2,No,20,2,2,23,1,3,20,16,6,6
1819,1,0,1279,Human Resources,37,3,149,3,5,Sales Executive,1,No,10,2,3,6,3,3,3,13,0,7
1820,1,3,1160,Human Resources,33,4,95,3,4,Research Scientist,3,No,15,1,3,31,0,1,9,14,10,7
1821,1,3,182,Human Resources,18,4,70,2,1,Laboratory Technician,3,No,23,3,0,12,6,3,26,1,5,7
1822,1,3,1211,Human Resources,4,3,126,4,4,Sales Executive,2,No,25,4,2,31,1,2,7,0,11,17
1823,1,1,982,Human Resources,30,1,135,1,4,Research Scientist,2,No,19,3,3,19,2,1,26,4,1,2
1824,0,1,1171,Research & Development,42,4,78,4,1,Human Resources,3,No,21,4,0,23,0,4,34,17,1,12
1825,0,0,872,Sales,8,1,51,3,3,Manager,4,No,14,2,1,0,1,3,24,0,0,0
1826,0,0,1182,Research & Development,39,1,139,2,5,Research Director,4,No,21,3,3,28,4,4,17,1,0,15
1827,0,1,981,Research & Development,29,3,103,2,4,Manufacturing Director,4,No,16,3,3,38,2,1,17,4,11,15
1828,0,0,408,Human Resources,6,2,77,3,1,Sales Representative,2,No,25,4,0,15,6,1,27,17,10,7
1829,1,3,498,Research & Development,12,1,129,1,4,Manager,3,No,17,3,2,3,1,4,30,5,12,2
1830,1,3,1382,Sales,24,3,45,2,1,Sales Representative,2,No,20,2,0,24,1,2,27,15,11,9
1831,0,0,403,Human Resources,2,2,54,4,1,Laboratory Technician,4,No,16,3,0,31,6,2,27,4,11,10
1832,0,1,1023,Sales,9,2,115,2,3,Manufacturing Director,3,No,20,4,2,39,4,3,6,5,2,4
1833,1,1,1349,Research & Development,42,1,90,3,1,Sales Representative,3,No,20,3,1,19,3,3,13,0,6,0
1834,0,1,317,Human Resources,4,2,38,4,2,Laboratory Technician,1,No,18,1,1,35,1,2,23,16,4,16
1835,1,1,1068,Human Resources,42,3,34,4,1,Sales Representative,4,No,25,4,0,20,2,2,34,5,5,12
1836,0,3,826,Human Resources,30,4,65,2,3,Manufacturing Director,3,No,10,4,2,37,0,2,33,2,12,16
1837,1,3,704,Human Resources,26,4,62,3,4,Healthcare Representative,1,No,14,2,3,1,0,1,31,11,8,9
1838,1,3,1488,Research & Development,47,3,66,2,3,Sales Representative,2,No,23,2,2,21,3,2,4,5,13,17
1839,0,3,510,Human Resources,3,1,76,2,5,Human Resources,3,No,11,3,3,24,6,4,16,5,0,13
1840,0,1,972,Sales,41,2,137,4,4,Research Scientist,4,No,21,4,3,3,1,4,11,14,3,4
1841,0,1,820,Sales,22,3,68,4,2,Healthcare Representative,1,No,13,3,1,30,4,2,21,4,9,5
1842,1,0,685,Human Resources,20,3,102,3,3,Sales Executive,3,No,21,2,2,17,2,1,16,5,1,10
1843,1,1,407,Sales,38,3,77,3,4,Laboratory Technician,4,No,17,3,2,28,1,2,7,17,4,16
1844,0,1,1206,Sales,24,1,133,2,3,Sales Executive,3,No,16,4,1,18,6,3,23,7,15,3
1845,1,0,1251,Research & Development,49,1,131,4,4,Research Scientist,4,No,13,2,3,2,4,3,23,6,6,3
1846,1,3,296,Human Resources,29,4,79,4,4,Human Resources,3,No,20,2,3,14,6,3,14,13,8,16
1847,0,3,578,Human Resources,15,1,67,2,1,Healthcare Representative,4,No,19,3,1,16,3,3,2,2,1,5
1848,0,1,838,Research & Development,46,4,103,4,2,Manager,3,No,17,2,1,7,3,2,21,11,12,15
1849,1,0,1415,Human Resources,34,3,142,2,5,Research Director,1,No,16,1,3,12,0,1,32,16,5,0
1850,0,1,1348,Human Resources,25,3,108,3,2,Sales Executive,3,No,16,3,0,38,2,2,22,18,4,10
1851,1,3,769,Sales,47,2,43,1,5,Research Director,1,No,20,3,2,1,0,1,2,14,9,3
1852,0,3,377,Human Resources,28,3,144,3,5,Manufacturing Director,1,No,10,3,3,40,0,1,20,6,10,14
1853,1,3,1050,Research & Development,12,4,107,4,3,Manufacturing Director,2,No,18,1,2,19,1,3,8,18,0,0
1854,1,3,381,Sales,26,4,82,2,2,Manufacturing Director,2,No,16,2,1,10,4,4,27,16,8,7
1855,1,3,526,Human Resources,36,3,131,3,4,Sales Executive,3,No,14,1,2,22,6,4,13,1,11,9
1856,0,1,470,Sales,17,1,98,1,2,Research Scientist,2,No,13,4,1,17,1,2,25,1,6,13
1857,1,1,1261,Sales,21,2,102,2,4,Manufacturing Director,3,No,21,2,2,40,1,3,9,0,3,11
1858,0,0,625,Sales,13,2,133,2,2,Manufacturing Director,2,No,20,3,1,28,5,1,14,1,13,0
1859,1,1,1193,Research & Development,42,3,86,2,1,Sales Representative,2,No,11,3,1,26,1,3,27,3,14,10
1860,1,1,505,Research & Development,35,1,138,4,3,Manager,3,No,25,4,2,19,3,1,37,6,0,15
1861,0,1,1438,Sales,15,4,123,4,1,Human Resources,2,No,12,3,1,12,2,2,34,4,13,0
1862,0,0,1021,Sales,16,3,148,1,3,Manufacturing Director,4,No,14,3,2,24,6,1,12,12,2,6
1863,0,1,382,Human Resources,9,2,90,3,1,Sales Representative,3,No,20,4,1,38,3,1,19,10,15,2
1864,0,1,505,Research & Development,22,3,101,2,5,Human Resources,2,No,24,3,3,19,0,4,33,0,14,5
1865,0,0,807,Sales,50,3,85,3,3,Research Director,1,No,24,1,2,11,1,4,34,20,0,15
1866,0,3,618,Research & Development,36,3,35,4,4,Healthcare Representative,3,No,11,2,2,6,1,2,8,13,12,13
1867,0,1,179,Sales,13,3,73,4,5,Research Director,2,No,18,3,3,25,2,3,32,10,6,16
1868,0,0,334,Research & Development,40,2,84,4,4,Manager,4,No,19,4,2,12,4,1,31,1,12,0
1869,1,0,1005,Human Resources,35,4,137,1,2,Sales Executive,4,No,19,4,1,33,6,2,35,4,5,13
1870,0,1,1420,Sales,7,1,123,3,1,Sales Representative,2,No,22,4,0,6,3,3,10,17,7,9
1871,0,3,1265,Human Resources,45,3,62,1,1,Sales Representative,3,No,11,3,0,20,6,4,35,11,3,2
1872,1,1,1271,Sales,12,3,52,4,1,Laboratory Technician,2,No,19,3,1,38,2,4,21,8,13,9
1873,1,0,1185,Human Resources,5,2,68,1,1,Healthcare Representative,2,No,15,3,0,20,5,2,8,5,7,8
1874,1,1,1395,Human Resources,37,3,81,3,1,Laboratory Technician,4,No,19,2,1,31,0,3,20,18,8,16
1875,0,3,686,Sales,35,1,85,2,4,Human Resources,1,No,16,1,2,14,3,4,13,20,13,15
1876,0,1,594,Human Resources,1,3,138,1,2,Manufacturing Director,2,No,22,1,1,39,6,2,4,13,7,15
1877,1,3,1158,Sales,21,2,121,3,2,Manager,1,No,23,3,1,29,6,4,23,2,12,15
1878,1,1,1402,Sales,31,4,45,2,1,Healthcare Representative,4,No,25,2,0,26,2,1,11,9,2,13
1879,1,0,195,Human Resources,15,2,92,3,1,Healthcare Representative,2,No,14,1,0,5,5,2,35,16,14,6
1880,1,3,413,Sales,2,1,56,2,4,Human Resources,1,No,15,1,3,19,0,2,29,13,7,6
1881,0,0,398,Human Resources,8,4,125,1,5,Manufacturing Director,1,No,18,2,3,31,4,4,12,13,10,11
1882,1,0,1284,Human Resources,20,1,32,4,1,Human Resources,4,No,11,3,0,38,2,1,4,8,4,7
1883,1,1,527,Sales,1,3,40,3,3,Human Resources,1,No,17,4,2,28,0,3,24,9,1,11
1884,1,0,407,Human Resources,2,4,48,3,3,Laboratory Technician,2,No,16,2,1,21,3,2,20,4,14,9
1885,1,1,177,Human Resources,6,3,55,1,1,Sales Representative,4,No,10,3,1,28,1,2,32,20,11,6
1886,0,1,1138,Sales,40,3,123,3,4,Sales Executive,2,No,13,3,3,5,6,3,37,20,11,17
1887,1,3,175,Research & Development,1,3,42,1,2,Healthcare Representative,4,No,11,2,0,25,0,3,14,7,2,13
1888,0,0,1058,Research & Development,44,3,61,3,2,Sales Executive,1,No,15,3,0,39,6,1,32,6,12,8
1889,0,0,962,Human Resources,24,2,30,3,4,Sales Representative,3,No,17,4,2,9,5,1,13,9,7,0
1890,0,3,957,Research & Development,5,1,138,1,3,Research Scientist,3,No,21,1,1,25,6,2,19,6,2,6
1891,0,1,1277,Sales,25,3,79,3,5,Sales Executive,1,No,25,2,2,9,5,4,13,18,7,13
1892,0,3,328,Human Resources,24,2,42,2,5,Manager,2,No,24,3,3,10,3,1,40,2,1,9
1893,1,1,980,Research & Development,15,4,122,2,5,Sales Executive,2,No,23,3,3,19,6,2,23,2,10,6
1894,1,3,1090,Human Resources,32,1,71,3,2,Sales Representative,1,No,21,2,0,9,3,4,16,20,11,9
1895,1,3,1302,Research & Development,41,3,41,1,5,Sales Executive,2,No,13,3,3,6,2,3,28,13,8,17
1896,0,1,1146,Research & Development,3,2,48,1,3,Human Resources,2,No,15,3,2,34,0,4,13,14,13,13
1897,1,0,1377,Research & Development,47,4,117,4,5,Sales Executive,4,No,12,3,2,32,5,3,0,15,5,7
1898,1,1,636,Human Resources,29,3,98,4,3,Research Director,3,No,13,4,1,15,3,2,3,3,0,12
1899,0,0,1430,Human Resources,6,2,137,1,2,Sales Executive,4,No,16,2,1,22,4,1,30,9,4,16
1900,0,1,1102,Human Resources,48,2,106,3,1,Healthcare Representative,1,No,14,3,1,5,4,2,34,20,12,15
1901,1,0,454,Research & Development,39,2,112,2,4,Sales Executive,4,No,11,4,3,24,4,3,24,1,11,0
1902,0,0,187,Sales,12,3,121,3,4,Manager,1,No,19,4,3,27,5,2,1,1,3,0
1903,1,1,714,Human Resources,40,4,113,4,4,Sales Executive,4,No,25,3,2,33,2,4,14,19,5,3
1904,1,3,225,Sales,17,1,130,1,4,Manufacturing Director,1,No,13,1,2,16,1,4,3,18,4,11
1905,1,3,968,Human Resources,36,2,123,4,3,Sales Executive,1,No,12,2,2,36,6,4,16,5,14,4
1906,0,1,466,Human Resources,39,2,61,2,3,Healthcare Representative,4,No,18,3,2,31,1,1,40,20,11,16
1907,0,1,760,Human Resources,18,3,58,1,4,Manufacturing Director,2,No,25,3,3,31,2,2,5,10,8,9
1908,1,0,485,Sales,9,1,99,2,1,Laboratory Technician,1,No,11,3,0,33,6,1,7,5,7,8
1909,1,1,759,Human Resources,10,4,146,2,2,Research Scientist,3,No,16,1,0,14,3,3,10,15,8,4
1910,1,3,809,Human Resources,49,1,84,2,4,Laboratory Technician,3,No,24,3,2,14,4,2,7,5,8,2
1911,0,3,683,Sales,41,2,48,3,1,Laboratory Technician,1,No,23,3,0,22,5,2,31,10,4,11
1912,1,1,488,Sales,36,4,44,4,3,Sales Representative,2,No,19,3,1,3,6,2,3,4,6,4
1913,1,0,585,Sales,9,2,62,3,2,Human Resources,4,No,17,3,1,1,1,1,14,19,13,3
1914,0,3,356,Research & Development,17,1,106,3,2,Research Scientist,3,No,22,1,0,20,2,4,7,16,15,0
1915,1,0,1042,Sales,36,1,91,3,3,Healthcare Representative,4,No,14,2,2,0,4,3,40,5,5,2
1916,1,0,535,Human Resources,36,4,94,1,1,Laboratory Technician,2,No,21,2,0,28,4,3,20,0,1,17
1917,0,3,1196,Sales,37,3,123,4,1,Sales Representative,3,No,19,4,1,8,6,1,33,3,7,11
1918,1,1,635,Human Resources,6,1,110,4,2,Sales Executive,2,No,15,3,0,37,5,3,27,14,2,13
1919,0,3,533,Research & Development,4,1,67,1,2,Research Director,4,No,11,1,1,2,5,4,33,6,3,0
1920,1,1,1121,Research & Development,5,3,120,1,5,Manufacturing Director,3,No,14,1,2,20,5,1,21,11,9,17
1921,0,0,1442,Sales,22,2,79,2,1,Sales Representative,4,No,24,2,1,3,0,2,21,13,9,8
1922,0,1,588,Sales,47,4,76,2,3,Healthcare Representative,4,No,17,2,1,32,6,1,21,9,7,16
1923,0,3,336,Research & Development,48,3,107,2,3,Manager,1,No,23,3,2,15,1,1,35,9,1,6
1924,0,3,706,Human Resources,18,3,144,4,3,Sales Executive,4,No,15,4,2,39,1,3,24,16,8,2
1925,0,1,1176,Human Resources,14,2,59,1,5,Human Resources,1,No,11,1,2,38,1,2,2,1,12,5
1926,0,1,1070,Human Resources,4,3,36,2,4,Laboratory Technician,3,No,20,4,3,2,0,4,39,11,8,9
1927,1,1,954,Human Resources,18,2,77,2,3,Human Resources,4,No,20,1,2,26,4,1,31,15,7,5
1928,0,3,904,Research & Development,1,3,93,1,1,Sales Representative,1,No,15,3,0,11,0,4,31,13,9,12
1929,1,1,747,Sales,15,2,121,3,1,Human Resources,1,No,13,3,0,23,6,3,31,4,9,4
1930,1,3,208,Human Resources,47,1,135,3,1,Sales Representative,4,No,23,1,0,15,3,3,26,1,10,15
1931,0,1,242,Sales,8,2,48,2,2,Healthcare Representative,2,No,21,4,1,13,6,4,30,13,4,0
1932,0,1,300,Research & Development,10,2,59,4,3,Sales Representative,2,No,19,3,2,2,2,4,38,8,4,14
1933,0,3,780,Research & Development,3,1,89,2,2,Laboratory Technician,1,No,12,1,0,0,1,1,10,7,11,13
1934,1,0,432,Sales,21,2,51,2,3,Healthcare Representative,3,No,20,4,1,1,5,3,14,11,2,2
1935,0,1,567,Sales,32,1,58,3,4,Sales Executive,1,No,11,3,3,39,4,3,24,9,1,9
