,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
2171,34,No,Non-Travel,745,Sales,22,16,Medical,1,51-1991474,2,M,80,4,1,Sales Representative,2,Single,10240,12800,1,Yes,No,15,4,3,80,0,11,6,4,6,12,11,16
2172,25,No,Travel_Frequently,339,Research & Development,43,18,Life Sciences,1,86-3449252,1,M,145,4,5,Research Scientist,2,Single,18560,23200,5,Yes,No,24,4,4,80,3,27,2,3,39,7,8,9
2173,44,No,Travel_Rarely,834,Human Resources,47,16,Human Resources,1,90-8192298,2,M,139,2,3,Manufacturing Director,4,Single,17792,22240,6,Yes,No,13,3,3,80,1,8,4,4,29,9,9,2
2174,21,No,Non-Travel,137,Research & Development,48,20,Sales,1,74-6880742,1,F,68,2,2,Research Director,3,Single,8704,10880,2,Yes,No,19,1,1,80,1,5,4,4,34,20,15,15
2175,56,No,Non-Travel,825,Human Resources,21,18,Sales,1,89-5571251,4,M,101,3,3,Research Director,2,Married,12928,16160,8,Yes,No,23,4,3,80,2,22,1,2,29,11,7,9
2176,34,Yes,Non-Travel,760,Research & Development,39,16,Human Resources,1,62-6040838,4,M,72,4,3,Healthcare Representative,3,Married,9216,11520,2,Yes,No,23,1,2,80,1,28,4,2,31,1,3,12
2177,22,Yes,Travel_Frequently,591,Human Resources,26,14,Medical,1,30-6486499,2,F,31,3,5,Sales Executive,3,Married,3968,4960,7,Yes,No,24,1,3,80,3,20,4,1,8,7,7,2
2178,54,No,Travel_Frequently,370,Sales,48,20,Medical,1,38-6595161,2,M,101,3,2,Research Scientist,2,Single,12928,16160,2,Yes,No,22,3,4,80,0,35,3,2,23,12,13,7
2179,28,Yes,Travel_Frequently,618,Research & Development,48,18,Sales,1,19-3538285,1,F,123,2,3,Sales Executive,4,Married,15744,19680,0,Yes,No,18,1,2,80,2,40,2,4,39,0,3,11
2180,51,Yes,Non-Travel,1169,Research & Development,11,20,Sales,1,63-9843574,4,M,44,2,5,Research Director,1,Single,5632,7040,3,Yes,No,13,1,4,80,2,15,5,4,19,9,11,8
2181,47,No,Non-Travel,858,Human Resources,3,18,Life Sciences,1,06-0123416,2,M,100,2,4,Sales Representative,3,Married,12800,16000,5,Yes,No,11,4,2,80,2,3,5,3,28,11,2,12
2182,51,No,Non-Travel,1200,Research & Development,29,14,Other,1,30-1796072,1,M,54,3,2,Human Resources,4,Married,6912,8640,8,Yes,No,22,4,1,80,1,0,3,3,19,7,5,5
2183,25,No,Travel_Rarely,1458,Human Resources,8,12,Life Sciences,1,59-2628865,3,F,93,3,2,Sales Representative,2,Single,11904,14880,3,Yes,No,13,2,3,80,1,30,2,3,14,6,0,10
2184,53,No,Travel_Rarely,802,Human Resources,1,14,Technical Degree,1,56-4682588,3,M,63,1,2,Manufacturing Director,2,Married,8064,10080,7,Yes,No,12,3,4,80,1,20,2,1,19,1,12,1
2185,24,No,Travel_Rarely,895,Sales,32,18,Medical,1,88-0939410,2,F,106,2,2,Sales Executive,3,Single,13568,16960,3,Yes,No,11,1,2,80,1,20,6,4,19,1,5,2
2186,58,No,Non-Travel,1421,Human Resources,27,18,Life Sciences,1,15-1668091,3,M,88,1,2,Research Scientist,2,Single,11264,14080,8,Yes,No,13,3,3,80,1,26,1,2,29,6,5,2
2187,43,No,Non-Travel,193,Sales,31,16,Other,1,24-5811041,4,M,100,1,5,Manufacturing Director,3,Married,12800,16000,1,Yes,No,21,3,2,80,2,2,5,4,31,10,2,0
2188,18,No,Travel_Frequently,610,Research & Development,20,14,Sales,1,08-2175600,3,M,97,4,1,Sales Representative,1,Married,12416,15520,4,Yes,No,17,3,3,80,0,2,4,3,1,12,3,17
2189,38,No,Non-Travel,1315,Human Resources,22,16,Other,1,94-5167962,1,F,86,1,1,Sales Representative,3,Single,11008,13760,0,Yes,No,23,1,2,80,0,3,4,4,7,10,1,9
2190,25,No,Travel_Rarely,1365,Human Resources,7,14,Sales,1,88-0237248,3,M,65,1,4,Manufacturing Director,3,Married,8320,10400,6,Yes,No,24,3,2,80,3,0,1,1,36,15,2,12
2191,28,Yes,Non-Travel,628,Human Resources,49,16,Medical,1,69-4574707,1,M,73,3,5,Research Director,1,Single,9344,11680,3,Yes,No,25,1,2,80,2,33,6,4,8,8,3,0
2192,39,No,Travel_Rarely,613,Research & Development,36,16,Life Sciences,1,75-5993599,1,F,94,2,5,Sales Executive,3,Single,12032,15040,3,Yes,No,25,3,3,80,3,37,0,3,6,17,3,4
2193,26,No,Travel_Frequently,573,Human Resources,29,16,Life Sciences,1,81-4783764,4,M,85,2,1,Sales Representative,3,Married,10880,13600,4,Yes,No,17,3,3,80,1,21,0,2,15,10,0,5
2194,44,No,Non-Travel,1436,Sales,2,18,Technical Degree,1,47-7360753,2,M,136,2,2,Sales Executive,2,Single,17408,21760,4,Yes,No,16,3,1,80,1,5,5,3,12,13,8,10
2195,51,Yes,Travel_Rarely,1359,Human Resources,2,14,Life Sciences,1,73-9231107,2,F,97,1,4,Healthcare Representative,2,Single,12416,15520,1,Yes,No,21,2,2,80,3,32,0,3,37,20,14,9
2196,31,Yes,Travel_Rarely,456,Human Resources,18,16,Sales,1,35-3148185,3,F,109,4,2,Research Director,3,Single,13952,17440,8,Yes,No,12,4,3,80,1,10,2,3,36,18,11,17
2197,25,No,Non-Travel,1315,Sales,36,18,Medical,1,31-5604481,1,M,119,4,3,Sales Executive,3,Single,15232,19040,3,Yes,No,16,3,4,80,2,28,3,2,14,12,4,2
2198,41,Yes,Travel_Frequently,134,Research & Development,38,14,Sales,1,23-5610008,3,F,93,1,4,Manager,1,Single,11904,14880,6,Yes,No,21,2,1,80,2,33,4,1,31,6,15,9
2199,39,Yes,Non-Travel,527,Human Resources,42,14,Sales,1,38-9239454,4,F,30,2,1,Sales Representative,3,Single,3840,4800,6,Yes,No,15,2,2,80,1,26,0,2,10,9,15,3
2200,44,Yes,Travel_Rarely,493,Research & Development,18,16,Medical,1,78-1293074,3,M,96,4,2,Research Director,2,Single,12288,15360,3,Yes,No,18,1,4,80,1,12,0,3,28,12,1,7
2201,55,Yes,Travel_Rarely,511,Human Resources,22,16,Human Resources,1,07-6458424,2,F,123,3,1,Sales Representative,4,Married,15744,19680,4,Yes,No,15,3,2,80,1,16,2,1,35,15,1,6
2202,50,Yes,Non-Travel,700,Sales,3,20,Other,1,83-5471656,4,F,82,3,4,Research Scientist,3,Married,10496,13120,2,Yes,No,17,4,4,80,2,24,4,1,21,2,2,10
2203,46,Yes,Travel_Frequently,1131,Human Resources,9,16,Other,1,53-2335776,1,F,41,1,4,Laboratory Technician,2,Married,5248,6560,6,Yes,No,22,4,3,80,2,15,4,4,27,16,9,16
2204,56,No,Travel_Rarely,570,Research & Development,27,16,Life Sciences,1,97-6977546,3,F,118,2,3,Manager,2,Married,15104,18880,2,Yes,No,15,3,4,80,2,9,1,4,35,9,7,17
2205,24,No,Non-Travel,1286,Sales,40,16,Other,1,98-8946280,1,M,89,4,1,Laboratory Technician,2,Single,11392,14240,0,Yes,No,22,4,2,80,0,11,2,4,38,4,8,13
2206,38,Yes,Non-Travel,421,Human Resources,6,16,Life Sciences,1,45-9994159,4,F,81,1,1,Human Resources,1,Single,10368,12960,4,Yes,No,25,2,2,80,0,34,5,1,3,5,3,5
2207,44,No,Non-Travel,183,Human Resources,3,14,Medical,1,07-7769016,3,F,142,1,2,Sales Executive,3,Married,18176,22720,3,Yes,No,10,4,4,80,1,26,5,3,11,4,8,12
2208,56,No,Travel_Frequently,1105,Sales,11,14,Other,1,19-9723230,2,M,91,3,4,Human Resources,4,Single,11648,14560,8,Yes,No,15,4,2,80,2,24,2,3,32,18,5,15
2209,33,No,Travel_Rarely,657,Research & Development,36,16,Other,1,61-0383309,4,M,88,4,5,Research Scientist,1,Single,11264,14080,4,Yes,No,18,4,4,80,3,38,4,2,7,14,14,8
2210,52,No,Travel_Rarely,831,Sales,27,18,Medical,1,44-6735310,1,F,55,3,4,Manager,3,Married,7040,8800,6,Yes,No,12,2,3,80,3,16,2,4,40,9,2,9
2211,43,No,Travel_Frequently,358,Human Resources,18,16,Sales,1,48-8115915,2,M,135,3,5,Manufacturing Director,2,Married,17280,21600,0,Yes,No,14,3,2,80,3,30,5,1,25,14,13,14
2212,39,No,Travel_Frequently,1076,Research & Development,36,16,Medical,1,74-2082410,4,M,83,2,5,Manufacturing Director,3,Single,10624,13280,4,Yes,No,13,1,1,80,2,5,5,4,24,9,6,7
2213,57,Yes,Non-Travel,996,Sales,43,16,Technical Degree,1,59-4765717,4,M,133,3,3,Manufacturing Director,4,Single,17024,21280,5,Yes,No,11,1,2,80,2,15,1,1,22,19,0,0
2214,48,No,Travel_Frequently,1483,Human Resources,30,16,Technical Degree,1,72-0084584,1,M,63,1,5,Manufacturing Director,2,Married,8064,10080,8,Yes,No,21,3,4,80,2,35,5,2,8,2,14,2
2215,48,Yes,Travel_Frequently,1051,Sales,42,16,Technical Degree,1,17-9367380,4,M,80,2,1,Laboratory Technician,4,Married,10240,12800,6,Yes,No,15,3,2,80,1,34,0,3,36,14,8,17
2216,20,Yes,Travel_Frequently,602,Sales,40,16,Human Resources,1,28-8538771,3,M,90,3,4,Sales Executive,3,Single,11520,14400,3,Yes,No,21,1,3,80,3,21,2,3,25,8,0,6
2217,30,No,Non-Travel,703,Research & Development,17,16,Human Resources,1,64-3569654,2,M,57,3,2,Healthcare Representative,2,Single,7296,9120,0,Yes,No,14,4,4,80,0,23,4,1,4,2,5,1
2218,46,Yes,Travel_Frequently,786,Sales,39,16,Technical Degree,1,18-0146529,3,M,55,3,4,Manufacturing Director,2,Single,7040,8800,7,Yes,No,14,2,3,80,2,14,4,1,24,7,8,8
2219,32,Yes,Travel_Rarely,378,Human Resources,34,16,Technical Degree,1,67-6896800,1,F,40,2,3,Laboratory Technician,4,Single,5120,6400,6,Yes,No,19,2,2,80,1,24,5,2,9,13,8,1
2220,18,Yes,Travel_Frequently,343,Research & Development,8,16,Life Sciences,1,36-6803118,4,F,140,2,2,Manufacturing Director,4,Married,17920,22400,4,Yes,No,24,2,2,80,1,3,0,2,23,19,3,11
2221,18,Yes,Non-Travel,1296,Research & Development,44,18,Technical Degree,1,16-7429173,2,M,50,4,5,Research Director,2,Single,6400,8000,6,Yes,No,17,1,4,80,3,9,6,4,33,3,2,15
2222,31,Yes,Travel_Frequently,626,Human Resources,3,16,Human Resources,1,98-4274556,4,F,101,1,4,Manager,2,Single,12928,16160,7,Yes,No,19,1,2,80,2,40,0,2,8,2,7,12
2223,48,No,Non-Travel,1389,Research & Development,11,16,Sales,1,14-8016833,4,F,91,4,5,Sales Executive,3,Single,11648,14560,8,Yes,No,15,4,3,80,2,28,1,3,19,10,7,13
2224,20,Yes,Travel_Frequently,539,Human Resources,11,16,Life Sciences,1,01-6251539,4,F,44,2,3,Healthcare Representative,2,Single,5632,7040,8,Yes,No,22,2,1,80,1,37,5,3,34,16,1,10
2225,34,No,Non-Travel,347,Human Resources,12,14,Human Resources,1,36-9629508,4,F,81,4,5,Human Resources,4,Single,10368,12960,5,Yes,No,25,3,3,80,2,14,2,4,6,5,4,8
2226,20,No,Non-Travel,1091,Sales,39,16,Life Sciences,1,70-1978283,1,M,54,3,2,Manufacturing Director,2,Single,6912,8640,8,Yes,No,11,3,4,80,1,5,1,3,21,11,14,3
2227,37,Yes,Travel_Frequently,1042,Research & Development,40,16,Sales,1,72-3967922,3,M,32,4,4,Laboratory Technician,2,Single,4096,5120,5,Yes,No,22,4,4,80,2,7,0,4,5,20,9,2
2228,40,Yes,Travel_Rarely,301,Sales,49,16,Other,1,17-5265198,1,F,43,2,1,Laboratory Technician,4,Married,5504,6880,6,Yes,No,13,1,3,80,0,5,6,3,34,2,9,17
2229,44,Yes,Non-Travel,448,Sales,14,20,Sales,1,78-3205995,1,M,143,2,5,Research Director,3,Married,18304,22880,1,Yes,No,12,2,2,80,2,1,4,4,2,15,3,1
2230,35,Yes,Travel_Rarely,111,Research & Development,45,14,Other,1,28-7177325,1,F,80,2,2,Manager,3,Married,10240,12800,0,Yes,No,17,3,3,80,0,9,5,1,25,15,10,5
2231,32,No,Travel_Rarely,631,Research & Development,15,20,Medical,1,31-7054892,3,M,127,2,4,Research Director,3,Married,16256,20320,6,Yes,No,22,1,4,80,3,38,2,4,0,15,2,6
2232,21,No,Travel_Rarely,1148,Human Resources,27,16,Human Resources,1,84-4483778,3,F,83,4,4,Manager,3,Single,10624,13280,7,Yes,No,12,1,2,80,2,31,3,4,18,17,10,8
2233,19,No,Travel_Frequently,859,Human Resources,38,14,Sales,1,43-7957107,3,F,88,3,3,Human Resources,3,Single,11264,14080,3,Yes,No,25,2,2,80,2,23,0,4,4,16,13,13
2234,30,No,Travel_Frequently,603,Human Resources,25,14,Life Sciences,1,03-9809145,1,F,44,1,1,Sales Representative,2,Married,5632,7040,5,Yes,No,20,1,1,80,0,26,0,3,14,5,9,15
2235,46,Yes,Travel_Rarely,843,Human Resources,28,14,Technical Degree,1,39-6716047,3,M,136,4,5,Manufacturing Director,3,Single,17408,21760,4,Yes,No,22,1,3,80,3,3,2,3,15,14,14,16
2236,20,No,Non-Travel,371,Sales,9,14,Life Sciences,1,90-9096388,4,M,87,2,5,Manufacturing Director,2,Single,11136,13920,1,Yes,No,24,4,3,80,3,18,5,4,3,7,5,0
2237,38,Yes,Non-Travel,715,Research & Development,16,18,Medical,1,85-5101007,3,F,149,1,3,Research Scientist,4,Single,19072,23840,4,Yes,No,14,1,4,80,1,32,1,2,36,15,3,13
2238,44,No,Non-Travel,1178,Human Resources,4,16,Human Resources,1,10-4898716,2,M,82,3,1,Laboratory Technician,4,Single,10496,13120,3,Yes,No,13,2,2,80,1,30,4,2,19,4,11,12
2239,56,No,Travel_Rarely,483,Sales,42,14,Other,1,78-8699503,3,F,121,1,3,Manager,4,Single,15488,19360,7,Yes,No,14,1,2,80,1,1,1,1,19,11,11,3
2240,46,No,Non-Travel,672,Research & Development,5,16,Human Resources,1,66-2218774,2,F,72,4,1,Healthcare Representative,2,Married,9216,11520,3,Yes,No,20,3,3,80,1,24,2,1,26,6,10,0
2241,46,Yes,Non-Travel,502,Sales,20,14,Technical Degree,1,75-5332711,4,F,117,2,1,Human Resources,4,Married,14976,18720,3,Yes,No,13,2,2,80,1,32,5,2,10,14,8,17
2242,48,Yes,Non-Travel,1488,Research & Development,38,16,Other,1,48-0614759,4,F,30,3,5,Research Director,1,Married,3840,4800,3,Yes,No,23,2,2,80,2,33,1,2,9,0,2,10
2243,40,No,Travel_Frequently,961,Sales,34,18,Technical Degree,1,42-3553227,1,M,98,1,1,Laboratory Technician,1,Married,12544,15680,1,Yes,No,11,2,3,80,0,9,6,3,12,3,8,5
2244,35,No,Non-Travel,1090,Human Resources,27,14,Sales,1,15-1124728,3,F,92,3,1,Laboratory Technician,1,Single,11776,14720,6,Yes,No,16,3,1,80,0,2,1,2,33,7,13,14
2245,32,No,Travel_Frequently,429,Human Resources,25,18,Human Resources,1,47-7861863,1,F,68,1,4,Research Scientist,1,Married,8704,10880,6,Yes,No,10,3,3,80,2,17,2,2,5,4,12,5
2246,30,Yes,Non-Travel,536,Sales,44,18,Other,1,36-5784520,2,F,98,3,1,Sales Representative,2,Married,12544,15680,0,Yes,No,20,4,2,80,1,31,1,4,22,14,15,16
2247,44,No,Travel_Frequently,334,Human Resources,5,20,Life Sciences,1,10-0635735,3,F,42,2,5,Research Director,3,Single,5376,6720,8,Yes,No,12,2,1,80,3,27,4,4,21,19,8,5
2248,44,No,Non-Travel,902,Research & Development,18,18,Medical,1,84-9896530,1,F,52,3,3,Manager,4,Married,6656,8320,3,Yes,No,14,2,2,80,2,21,3,2,32,0,1,9
2249,41,No,Travel_Frequently,697,Human Resources,43,14,Human Resources,1,92-0143519,4,F,83,4,5,Manufacturing Director,3,Single,10624,13280,0,Yes,No,24,4,3,80,3,9,0,1,9,16,6,12
2250,24,Yes,Travel_Rarely,510,Sales,2,14,Technical Degree,1,76-1175509,3,F,48,1,3,Laboratory Technician,4,Single,6144,7680,5,Yes,No,12,4,2,80,1,16,2,1,18,0,7,0
2251,21,No,Travel_Frequently,494,Sales,45,18,Sales,1,85-4676013,4,F,103,2,3,Sales Executive,4,Married,13184,16480,1,Yes,No,24,3,3,80,2,20,4,2,21,2,14,2
2252,60,No,Travel_Frequently,1016,Sales,38,14,Other,1,90-4560383,2,M,110,3,5,Sales Executive,1,Married,14080,17600,8,Yes,No,14,4,2,80,2,6,0,2,21,17,1,0
2253,56,Yes,Travel_Frequently,428,Research & Development,34,12,Sales,1,96-0325430,1,M,51,4,1,Human Resources,3,Single,6528,8160,2,Yes,No,17,4,3,80,1,39,6,2,13,5,3,10
2254,26,Yes,Non-Travel,763,Research & Development,26,14,Technical Degree,1,29-6930337,4,M,72,1,5,Human Resources,4,Married,9216,11520,6,Yes,No,18,4,2,80,3,22,1,4,25,14,13,15
2255,26,No,Non-Travel,1147,Human Resources,35,16,Other,1,58-8213435,4,F,100,3,3,Sales Executive,2,Single,12800,16000,5,Yes,No,15,4,3,80,2,25,5,2,15,13,2,7
2256,60,No,Travel_Frequently,651,Sales,44,16,Human Resources,1,36-7442745,1,F,71,3,5,Manufacturing Director,3,Married,9088,11360,3,Yes,No,14,2,4,80,3,30,4,4,20,8,13,6
2257,59,Yes,Travel_Rarely,822,Research & Development,32,12,Technical Degree,1,14-8109939,1,M,144,3,1,Healthcare Representative,1,Single,18432,23040,2,Yes,No,23,4,3,80,1,20,2,2,19,11,15,6
2258,60,No,Non-Travel,294,Research & Development,40,16,Medical,1,16-1529207,3,F,58,4,3,Laboratory Technician,3,Single,7424,9280,4,Yes,No,15,3,3,80,2,33,6,3,19,10,3,16
2259,28,Yes,Non-Travel,487,Research & Development,7,16,Medical,1,58-5888535,3,F,62,3,1,Sales Representative,1,Single,7936,9920,6,Yes,No,21,2,1,80,0,26,1,1,22,2,2,3
2260,21,Yes,Non-Travel,251,Sales,3,14,Technical Degree,1,66-1375229,4,M,95,2,5,Human Resources,3,Married,12160,15200,5,Yes,No,10,4,2,80,3,7,5,4,10,8,7,13
2261,47,Yes,Travel_Rarely,477,Sales,37,20,Sales,1,71-4265714,3,F,69,4,4,Research Director,1,Married,8832,11040,1,Yes,No,12,1,1,80,3,2,0,2,13,3,12,10
2262,35,Yes,Travel_Frequently,1268,Human Resources,15,12,Sales,1,16-5155004,3,F,44,2,3,Healthcare Representative,4,Single,5632,7040,6,Yes,No,17,3,3,80,2,33,4,4,37,7,14,1
2263,19,Yes,Travel_Frequently,1201,Research & Development,26,14,Life Sciences,1,13-3997343,1,M,38,1,2,Laboratory Technician,1,Single,4864,6080,6,Yes,No,12,1,4,80,0,38,2,1,2,8,3,14
2264,21,Yes,Non-Travel,596,Sales,19,16,Technical Degree,1,21-9728858,4,F,77,3,3,Manager,4,Single,9856,12320,6,Yes,No,10,2,4,80,2,16,5,4,26,12,4,9
2265,45,No,Travel_Rarely,329,Sales,49,20,Other,1,49-1199735,2,M,123,1,2,Research Director,3,Married,15744,19680,7,Yes,No,24,4,3,80,1,10,6,3,18,17,14,13
2266,42,No,Travel_Frequently,399,Sales,18,18,Other,1,43-8406744,4,M,133,4,2,Research Director,2,Married,17024,21280,0,Yes,No,12,2,4,80,1,4,1,4,28,7,4,12
2267,23,No,Travel_Rarely,1413,Research & Development,29,16,Medical,1,91-1067405,2,F,81,1,1,Laboratory Technician,4,Single,10368,12960,7,Yes,No,11,1,1,80,0,33,3,3,14,7,0,16
2268,40,No,Travel_Frequently,1301,Research & Development,37,12,Life Sciences,1,68-1877223,3,F,95,1,2,Healthcare Representative,2,Married,12160,15200,0,Yes,No,12,3,3,80,0,17,4,3,2,19,4,6
2269,23,No,Non-Travel,765,Sales,18,12,Sales,1,81-2702358,3,M,51,2,1,Sales Representative,2,Married,6528,8160,7,Yes,No,12,3,4,80,0,10,5,4,24,9,6,13
2270,46,No,Non-Travel,1306,Human Resources,29,18,Medical,1,53-7386947,3,M,115,3,1,Sales Representative,4,Single,14720,18400,4,Yes,No,19,4,4,80,0,29,0,1,33,16,9,13
2271,51,No,Travel_Rarely,1069,Sales,21,16,Other,1,90-0200184,3,M,65,2,3,Laboratory Technician,4,Married,8320,10400,1,Yes,No,12,2,3,80,1,4,3,1,23,13,4,0
2272,53,Yes,Non-Travel,854,Sales,37,16,Other,1,38-2999190,2,M,150,3,5,Manufacturing Director,4,Married,19200,24000,3,Yes,No,16,2,2,80,3,27,2,3,32,11,10,17
2273,26,No,Travel_Frequently,964,Research & Development,50,14,Technical Degree,1,35-0098200,1,M,74,2,5,Sales Executive,1,Married,9472,11840,7,Yes,No,10,2,4,80,2,11,5,3,28,19,13,10
2274,57,Yes,Non-Travel,1189,Research & Development,2,14,Medical,1,56-8359778,1,M,77,3,1,Sales Representative,1,Married,9856,12320,7,Yes,No,24,2,1,80,0,8,6,2,9,18,11,5
2275,40,Yes,Travel_Rarely,368,Research & Development,12,14,Sales,1,72-8028306,4,F,127,4,3,Sales Executive,3,Married,16256,20320,7,Yes,No,20,1,3,80,1,5,1,2,0,13,7,1
2276,36,Yes,Travel_Frequently,680,Research & Development,16,18,Human Resources,1,74-6621412,2,M,86,4,4,Manager,1,Married,11008,13760,0,Yes,No,23,2,3,80,3,13,2,3,31,18,12,5
2277,40,No,Travel_Frequently,1273,Sales,18,20,Human Resources,1,89-0207992,2,F,58,4,5,Research Director,2,Single,7424,9280,2,Yes,No,17,3,1,80,2,5,2,1,29,13,6,11
2278,60,No,Non-Travel,433,Human Resources,43,16,Human Resources,1,34-1920073,4,F,113,2,3,Manufacturing Director,3,Married,14464,18080,5,Yes,No,12,3,3,80,2,7,0,2,39,16,2,4
2279,54,Yes,Travel_Rarely,158,Sales,34,14,Other,1,03-8234151,2,F,132,4,2,Sales Executive,2,Single,16896,21120,7,Yes,No,22,3,1,80,1,33,2,3,30,16,14,0
2280,29,Yes,Travel_Rarely,259,Research & Development,12,14,Life Sciences,1,94-8653220,4,F,50,2,1,Human Resources,4,Married,6400,8000,8,Yes,No,12,3,2,80,0,24,5,1,12,11,14,9
2281,37,No,Non-Travel,1243,Human Resources,22,20,Human Resources,1,84-2335660,2,M,119,4,3,Research Director,2,Single,15232,19040,3,Yes,No,14,4,3,80,2,16,6,1,30,13,10,17
2282,20,No,Non-Travel,462,Sales,48,18,Human Resources,1,14-0510918,1,F,82,1,4,Research Director,4,Single,10496,13120,8,Yes,No,13,1,1,80,2,33,0,2,23,20,6,0
2283,18,No,Non-Travel,686,Human Resources,13,16,Medical,1,87-8805125,4,M,142,2,5,Research Director,2,Married,18176,22720,5,Yes,No,13,3,4,80,2,37,4,2,5,16,2,6
2284,48,Yes,Travel_Rarely,1318,Human Resources,32,16,Technical Degree,1,35-9905817,1,M,89,4,3,Sales Executive,1,Married,11392,14240,4,Yes,No,11,1,4,80,1,26,4,4,39,9,5,14
2285,54,No,Travel_Frequently,1367,Sales,20,16,Life Sciences,1,65-7408492,3,F,75,1,1,Human Resources,3,Single,9600,12000,4,Yes,No,16,4,3,80,0,7,4,3,0,7,1,15
2286,52,Yes,Non-Travel,1150,Human Resources,1,14,Sales,1,27-9217916,2,F,142,2,3,Manager,1,Married,18176,22720,7,Yes,No,24,1,3,80,2,17,3,1,10,1,7,7
2287,38,No,Travel_Rarely,407,Research & Development,27,14,Medical,1,61-0982403,4,M,40,2,1,Sales Representative,1,Married,5120,6400,2,Yes,No,17,3,4,80,1,13,5,3,10,5,4,13
2288,19,No,Travel_Rarely,1291,Sales,1,18,Medical,1,53-8863883,2,F,80,4,3,Manager,4,Married,10240,12800,2,Yes,No,25,3,2,80,2,13,2,2,37,15,7,10
2289,31,Yes,Travel_Frequently,289,Research & Development,5,12,Medical,1,31-6714210,2,F,77,4,2,Healthcare Representative,2,Single,9856,12320,0,Yes,No,23,2,1,80,1,22,4,1,10,7,10,13
2290,45,Yes,Non-Travel,1437,Research & Development,33,16,Medical,1,00-7427935,4,M,133,4,1,Human Resources,4,Married,17024,21280,3,Yes,No,17,1,2,80,0,27,0,2,30,17,9,10
2291,31,Yes,Travel_Rarely,248,Human Resources,50,14,Other,1,67-4901773,1,M,41,2,5,Manufacturing Director,1,Married,5248,6560,1,Yes,No,25,3,4,80,3,2,0,4,3,15,2,16
2292,20,No,Travel_Rarely,1035,Human Resources,38,18,Life Sciences,1,19-0889565,4,M,34,4,4,Sales Representative,1,Single,4352,5440,5,Yes,No,23,3,3,80,3,3,3,2,13,19,0,8
2293,23,Yes,Travel_Frequently,1321,Research & Development,29,12,Technical Degree,1,12-0645833,1,M,55,1,4,Human Resources,2,Married,7040,8800,0,Yes,No,10,1,1,80,3,29,1,1,37,7,1,15
2294,36,No,Travel_Rarely,936,Research & Development,35,16,Technical Degree,1,92-0598959,4,F,90,4,1,Laboratory Technician,1,Married,11520,14400,0,Yes,No,23,3,2,80,0,8,3,4,36,19,11,16
2295,54,No,Travel_Frequently,260,Human Resources,18,16,Life Sciences,1,97-7739541,2,F,59,3,2,Research Director,2,Married,7552,9440,6,Yes,No,14,3,4,80,1,8,6,2,0,13,0,2
2296,55,Yes,Travel_Frequently,917,Human Resources,29,18,Other,1,71-7397917,2,M,125,1,3,Manager,1,Single,16000,20000,0,Yes,No,12,2,2,80,1,37,5,4,35,12,9,16
2297,43,No,Travel_Frequently,1091,Research & Development,49,12,Life Sciences,1,08-3218640,2,F,48,3,2,Healthcare Representative,3,Married,6144,7680,4,Yes,No,16,4,1,80,1,8,3,1,26,2,8,11
2298,51,Yes,Non-Travel,383,Sales,18,16,Sales,1,50-4752073,2,F,62,2,4,Laboratory Technician,3,Single,7936,9920,4,Yes,No,24,1,4,80,3,9,4,4,17,6,10,1
2299,25,Yes,Travel_Rarely,619,Human Resources,4,16,Technical Degree,1,71-8266226,4,F,36,4,1,Laboratory Technician,2,Married,4608,5760,6,Yes,No,17,2,2,80,1,25,5,4,32,9,14,7
2300,34,Yes,Travel_Frequently,705,Research & Development,14,18,Other,1,00-4935016,2,M,95,3,3,Sales Executive,4,Married,12160,15200,6,Yes,No,10,1,3,80,1,19,5,4,30,18,3,8
2301,46,Yes,Travel_Frequently,355,Research & Development,20,14,Sales,1,40-6812389,2,F,53,4,2,Sales Executive,3,Single,6784,8480,6,Yes,No,24,2,1,80,0,38,0,1,34,6,12,1
2302,28,Yes,Travel_Rarely,1000,Research & Development,3,14,Life Sciences,1,15-8845305,2,M,44,4,2,Healthcare Representative,3,Single,5632,7040,2,Yes,No,14,2,2,80,0,8,5,3,27,17,9,7
2303,54,No,Non-Travel,251,Research & Development,18,20,Life Sciences,1,10-3652898,2,F,102,3,2,Research Director,2,Married,13056,16320,0,Yes,No,19,3,4,80,1,32,6,3,2,7,5,1
2304,59,No,Travel_Rarely,267,Research & Development,30,16,Other,1,85-0262013,4,F,59,4,5,Human Resources,1,Single,7552,9440,2,Yes,No,11,2,3,80,3,19,0,1,19,1,9,12
2305,18,No,Travel_Frequently,173,Human Resources,47,14,Sales,1,16-5656622,2,F,116,2,1,Laboratory Technician,2,Single,14848,18560,3,Yes,No,20,1,2,80,0,21,4,1,7,15,14,2
